"name","mu.A","sigma.A","mu.r","sigma.r"
"n=10 m=1",-0.442622047,0.274268717,3.019128166,0.27933614
"n=15 m=1",-0.090659658,0.281667533,2.536287854,0.285568757
"n=5 m=3",-0.983858565,0.294312503,2.289207388,0.4685663
